frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
21,0.063690,1.558100,1.539200,1.476300,1148.000000,643350905.000000,1140539392.000000,252489728.000000,1273769984.000000,0.000600,0.000000,0.000000,0.000000,0.005500,0.000000,0.011100,0.000000,0.000000,0.000000,0.002100,0.000000
22,0.067499,3.717800,3.696600,3.613500,1148.000000,643356471.000000,1140539392.000000,252489728.000000,1273769984.000000,3.260100,0.042000,0.013900,3.153000,0.007900,0.020600,0.010000,0.000800,0.000500,0.014800,0.003200,0.000000
23,0.068808,1.397399,1.408800,1.314100,1148.000000,643349011.000000,1140539392.000000,252489728.000000,1273769984.000000,0.000700,0.000000,0.000000,0.000000,0.011400,0.000000,0.085500,0.000000,0.000000,0.000000,0.004300,0.000000
24,0.070399,1.575404,1.568700,1.483500,1148.000000,643349459.000000,1140539392.000000,252489728.000000,1273769984.000000,0.000600,0.000000,0.000000,0.000000,0.008200,0.000000,0.204400,0.000000,0.000000,0.000000,0.002800,0.000000
25,0.071754,1.379500,1.383900,1.297600,1148.000000,643349067.000000,1140539392.000000,252489728.000000,1273769984.000000,0.000500,0.000000,0.000000,0.000000,0.009200,0.000000,0.105600,0.000000,0.000000,0.000000,0.003000,0.000000
26,0.073102,1.348802,1.353100,1.275800,1148.000000,643348587.000000,1140539392.000000,252489728.000000,1273769984.000000,0.000700,0.000000,0.000000,0.000000,0.007900,0.000000,0.074000,0.000000,0.000000,0.000000,0.002800,0.000000
27,0.074582,1.466397,1.461400,1.389200,1148.000000,643352707.000000,1140539392.000000,252489728.000000,1273774080.000000,0.000500,0.000000,0.000000,0.000000,0.006000,0.000000,0.110500,0.000000,0.000000,0.000000,0.002400,0.000000
28,0.075997,1.349596,1.347800,1.275100,1148.000000,643352731.000000,1140539392.000000,252489728.000000,1273774080.000000,0.000800,0.000000,0.000000,0.000000,0.008100,0.000000,0.088700,0.000000,0.000000,0.000000,0.003100,0.000000
29,0.077450,1.488202,1.466500,1.387500,1148.000000,643356851.000000,1140539392.000000,252489728.000000,1273778176.000000,0.000800,0.000000,0.000000,0.000000,0.006100,0.000000,0.096400,0.000000,0.000000,0.000000,0.007700,0.000000
30,0.080052,1.492999,1.505100,1.410100,1148.000000,643357315.000000,1140539392.000000,252489728.000000,1273778176.000000,0.000700,0.000000,0.000000,0.000000,0.010200,0.000000,0.234300,0.000000,0.000000,0.000000,0.003400,0.000000
