"scale","scaleUnit","status","fixedTicksPerSecond","framesPerSecond","frameTimeMeanMilliseconds","frameTimeP95Milliseconds","beltEntities","itemEntities","reportPath"
"2","side","passed","61.19687180297028","3832.2041094395963","0.2609020923311651","0.3849985951092094","4","4","Docs\PerformanceReports\StressTest\Perf_4096_Mk4_FullLoop\stress-20260807-023047\scale-2\report.json"
"4","side","passed","61.59561196116114","3220.1705967487555","0.3104810644851014","0.4562896836432626","16","16","Docs\PerformanceReports\StressTest\Perf_4096_Mk4_FullLoop\stress-20260807-023047\scale-4\report.json"
"8","side","passed","61.39814384349838","2795.1154995333336","0.3576710434132916","0.541726898518391","64","64","Docs\PerformanceReports\StressTest\Perf_4096_Mk4_FullLoop\stress-20260807-023047\scale-8\report.json"
"16","side","passed","61.59635794239766","2589.6468798574915","0.3859980230890824","0.602022395469248","256","256","Docs\PerformanceReports\StressTest\Perf_4096_Mk4_FullLoop\stress-20260807-023047\scale-16\report.json"
"32","side","passed","61.59652828710387","1426.9195757418381","0.7001201267802557","1.37277846224606","1024","1024","Docs\PerformanceReports\StressTest\Perf_4096_Mk4_FullLoop\stress-20260807-023047\scale-32\report.json"
"64","side","passed","61.379939551082465","548.8206321424149","1.818518726168309","3.834136994555592","4096","4096","Docs\PerformanceReports\StressTest\Perf_4096_Mk4_FullLoop\stress-20260807-023047\scale-64\report-detailed.json"
"128","side","passed","61.943950252533334","83.5244232437385","11.768435177050138","17.378943320363756","16384","16384","Docs\PerformanceReports\StressTest\Perf_4096_Mk4_FullLoop\stress-20260807-023047\scale-128\report.json"
"256","side","failed","28.158349644424398","1.2967661020458605","683.4310974393572","733.193051815033","65536","65536","Docs\PerformanceReports\StressTest\Perf_4096_Mk4_FullLoop\stress-20260807-023047\scale-256\report-detailed.json"
