frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
21,0.082266,2.349298,2.345600,2.253300,1124.000000,644182704.000000,1143881728.000000,251637760.000000,1273368576.000000,0.000500,0.000000,0.000000,0.000000,0.010300,0.000000,0.413100,0.000000,0.000000,0.000000,0.002400,0.000000
22,0.084993,2.748604,2.756900,2.665300,1124.000000,644182704.000000,1143881728.000000,251637760.000000,1273368576.000000,0.000600,0.000000,0.000000,0.000000,0.009200,0.000000,0.364500,0.000000,0.000000,0.000000,0.003200,0.000000
23,0.087391,2.319501,2.287400,2.198500,1124.000000,644182736.000000,1143881728.000000,251637760.000000,1273368576.000000,0.000600,0.000000,0.000000,0.000000,0.008400,0.000000,0.919100,0.000000,0.000000,0.000000,0.002600,0.000000
24,0.092781,2.989094,3.008900,2.901000,1124.000000,644183296.000000,1143881728.000000,251637760.000000,1273368576.000000,0.000800,0.000000,0.000000,0.000000,0.013800,0.000000,1.560200,0.000000,0.000000,0.000000,0.003800,0.000000
25,0.095253,4.916900,4.898200,4.789300,1124.000000,644196924.000000,1143881728.000000,251637760.000000,1273368576.000000,1.936300,0.034000,0.019400,1.831900,0.009000,0.018700,0.010200,0.000600,0.000300,0.015300,0.006600,0.000000
26,0.097538,2.305201,2.313900,2.212000,1124.000000,644191520.000000,1143881728.000000,251637760.000000,1273368576.000000,0.000600,0.000000,0.000000,0.000000,0.012200,0.000000,0.381400,0.000000,0.000000,0.000000,0.003200,0.000000
27,0.099595,2.065504,2.064700,1.974900,1124.000000,644191552.000000,1143881728.000000,251637760.000000,1273368576.000000,0.000600,0.000000,0.000000,0.000000,0.009400,0.000000,0.292300,0.000000,0.000000,0.000000,0.003100,0.000000
28,0.102202,2.594494,2.550800,2.461300,1124.000000,644192032.000000,1143881728.000000,251637760.000000,1273368576.000000,0.000600,0.000000,0.000000,0.000000,0.008800,0.000000,1.362500,0.000000,0.000000,0.000000,0.003000,0.000000
29,0.103575,1.400999,1.449800,1.323700,1124.000000,644190408.000000,1143881728.000000,251637760.000000,1273368576.000000,0.000600,0.000000,0.000000,0.000000,0.009300,0.000000,0.322400,0.000000,0.000000,0.000000,0.003100,0.000000
30,0.107000,3.355605,3.299000,3.212500,1124.000000,644190432.000000,1143881728.000000,251637760.000000,1273368576.000000,0.000500,0.000000,0.000000,0.000000,0.007600,0.000000,2.032700,0.000000,0.000000,0.000000,0.002100,0.000000
31,0.111022,4.035998,4.066400,3.932900,1124.000000,644200180.000000,1143881728.000000,251637760.000000,1273368576.000000,3.460000,0.034900,0.019800,3.354700,0.028700,0.018500,0.008400,0.000600,0.000400,0.015500,0.056200,0.000000
32,0.113024,2.032299,2.039100,1.938800,1124.000000,644197200.000000,1143881728.000000,251637760.000000,1273368576.000000,0.000500,0.000000,0.000000,0.000000,0.010300,0.000000,0.522100,0.000000,0.000000,0.000000,0.002600,0.000000
33,0.116724,3.711203,3.695100,2.584200,1124.000000,644194520.000000,1143881728.000000,251637760.000000,1273368576.000000,0.000500,0.000000,0.000000,0.000000,0.008800,0.000000,0.330300,0.000000,0.000000,0.000000,0.002900,0.000000
34,0.118861,2.131002,2.142800,0.943000,1124.000000,644194544.000000,1143881728.000000,251637760.000000,1273368576.000000,0.000600,0.000000,0.000000,0.000000,0.009000,0.000000,0.010300,0.000000,0.000000,0.000000,0.003000,0.000000
35,0.119784,0.924100,0.929000,0.842100,1124.000000,644194696.000000,1143881728.000000,251637760.000000,1273368576.000000,0.000700,0.000000,0.000000,0.000000,0.009100,0.000000,0.389500,0.000000,0.000000,0.000000,0.002900,0.000000
36,0.122188,2.398094,2.387800,2.304000,1124.000000,644198792.000000,1143881728.000000,251637760.000000,1273368576.000000,0.000500,0.000000,0.000000,0.000000,0.008900,0.000000,0.438600,0.000000,0.000000,0.000000,0.002800,0.000000
37,0.123997,1.811203,1.805200,1.716600,1124.000000,644198824.000000,1143881728.000000,251637760.000000,1273368576.000000,0.000600,0.000000,0.000000,0.000000,0.009500,0.000000,0.320700,0.000000,0.000000,0.000000,0.003000,0.000000
38,0.129798,5.784198,5.778100,5.684600,1124.000000,644209644.000000,1143881728.000000,251637760.000000,1273368576.000000,5.325600,0.044500,0.018000,5.213500,0.009200,0.018100,0.008700,0.000600,0.000300,0.016000,0.002600,0.000000
39,0.132265,2.457299,2.460300,2.364500,1124.000000,644204280.000000,1143881728.000000,251637760.000000,1273368576.000000,0.000500,0.000000,0.000000,0.000000,0.010500,0.000000,0.415500,0.000000,0.000000,0.000000,0.002600,0.000000
40,0.134623,2.391900,2.395000,2.306700,1124.000000,644205160.000000,1143881728.000000,251637760.000000,1273372672.000000,0.000600,0.000000,0.000000,0.000000,0.009200,0.000000,0.503500,0.000000,0.000000,0.000000,0.003200,0.000000
41,0.137464,2.827105,2.820000,2.734700,1124.000000,644204336.000000,1143881728.000000,251637760.000000,1273372672.000000,0.000600,0.000000,0.000000,0.000000,0.008900,0.000000,1.580300,0.000000,0.000000,0.000000,0.003000,0.000000
42,0.139545,2.097697,2.094100,2.007400,1124.000000,644207616.000000,1143881728.000000,251637760.000000,1273372672.000000,0.000600,0.000000,0.000000,0.000000,0.009800,0.000000,0.376000,0.000000,0.000000,0.000000,0.003100,0.000000
43,0.142652,3.087302,3.076800,2.984300,1124.000000,644206792.000000,1143881728.000000,251637760.000000,1273372672.000000,0.000600,0.000000,0.000000,0.000000,0.009200,0.000000,0.398700,0.000000,0.000000,0.000000,0.002900,0.000000
44,0.148699,6.024497,6.025200,5.926500,1124.000000,644212508.000000,1143881728.000000,251637760.000000,1273372672.000000,5.560900,0.044500,0.019400,5.447900,0.009600,0.017000,0.008600,0.000700,0.000500,0.015500,0.003100,0.000000
45,0.152196,3.491702,3.487400,3.393100,1124.000000,644207360.000000,1143881728.000000,251637760.000000,1273372672.000000,0.000600,0.000000,0.000000,0.000000,0.011200,0.000000,1.798400,0.000000,0.000000,0.000000,0.002900,0.000000
46,0.154839,2.684099,2.679200,2.583100,1124.000000,644207384.000000,1143881728.000000,251637760.000000,1273372672.000000,0.000600,0.000000,0.000000,0.000000,0.010400,0.000000,0.873100,0.000000,0.000000,0.000000,0.003300,0.000000
47,0.157327,2.481703,2.472700,2.374900,1124.000000,644207408.000000,1143881728.000000,251637760.000000,1273372672.000000,0.000500,0.000000,0.000000,0.000000,0.009900,0.000000,0.431500,0.000000,0.000000,0.000000,0.002700,0.000000
48,0.160830,3.515001,3.534200,3.432400,1124.000000,644219556.000000,1143881728.000000,251637760.000000,1273438208.000000,3.085600,0.041100,0.017700,2.986800,0.010000,0.013700,0.010200,0.000600,0.000500,0.012200,0.002700,0.000000
49,0.162827,1.973696,1.952100,1.868700,1124.000000,644211624.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000500,0.000000,0.000000,0.000000,0.009300,0.000000,0.309400,0.000000,0.000000,0.000000,0.002200,0.000000
50,0.164413,1.610402,1.626800,1.528200,1124.000000,644218214.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000600,0.000000,0.000000,0.000000,0.009500,0.000000,0.462300,0.000000,0.000000,0.000000,0.003400,0.000000
51,0.167327,2.903997,2.872100,2.786700,1124.000000,644215768.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000500,0.000000,0.000000,0.000000,0.007300,0.000000,0.339000,0.000000,0.000000,0.000000,0.002500,0.000000
52,0.169782,2.461798,2.483900,2.375600,1124.000000,644215248.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000600,0.000000,0.000000,0.000000,0.009600,0.000000,0.275400,0.000000,0.000000,0.000000,0.002700,0.000000
53,0.172249,2.421705,2.413100,2.324100,1124.000000,644219384.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000500,0.000000,0.000000,0.000000,0.008900,0.000000,0.330600,0.000000,0.000000,0.000000,0.003100,0.000000
54,0.173957,1.744097,1.745000,1.653400,1124.000000,644219392.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000700,0.000000,0.000000,0.000000,0.009800,0.000000,0.373600,0.000000,0.000000,0.000000,0.003200,0.000000
55,0.179177,5.203600,5.180700,5.090200,1124.000000,644225980.000000,1143881728.000000,251637760.000000,1273438208.000000,4.709500,0.040800,0.013800,4.602500,0.009600,0.019100,0.009900,0.000600,0.000400,0.017300,0.002900,0.000000
56,0.180868,1.713598,1.728900,1.621000,1124.000000,644220520.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000600,0.000000,0.000000,0.000000,0.010700,0.000000,0.233500,0.000000,0.000000,0.000000,0.002900,0.000000
57,0.184030,3.140703,3.127500,3.034800,1124.000000,644219696.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000600,0.000000,0.000000,0.000000,0.009100,0.000000,1.370100,0.000000,0.000000,0.000000,0.002700,0.000000
58,0.188112,4.038102,4.015000,3.900700,1124.000000,644222182.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000600,0.000000,0.000000,0.000000,0.010600,0.000000,2.712800,0.000000,0.000000,0.000000,0.003400,0.000000
59,0.190575,2.060197,1.999800,1.879000,1124.000000,644223248.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000600,0.000000,0.000000,0.000000,0.010100,0.000000,0.368200,0.000000,0.000000,0.000000,0.004200,0.000000
60,0.193455,3.325000,3.410700,3.235800,1124.000000,644223272.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000500,0.000000,0.000000,0.000000,0.008100,0.000000,0.355800,0.000000,0.000000,0.000000,0.115900,0.000000
61,0.199230,5.775603,5.769100,5.677700,1124.000000,644229652.000000,1143881728.000000,251637760.000000,1273438208.000000,5.286800,0.040700,0.016400,5.177400,0.008200,0.019900,0.009000,0.000500,0.000400,0.016400,0.003200,0.000000
62,0.200730,1.534999,1.544300,1.453100,1124.000000,644224432.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000400,0.000000,0.000000,0.000000,0.012100,0.000000,0.285600,0.000000,0.000000,0.000000,0.002900,0.000000
63,0.203628,2.868502,2.860200,2.776900,1124.000000,644228528.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000500,0.000000,0.000000,0.000000,0.008500,0.000000,0.391100,0.000000,0.000000,0.000000,0.002700,0.000000
64,0.206794,3.166100,3.157800,3.068800,1124.000000,644234848.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000600,0.000000,0.000000,0.000000,0.010100,0.000000,1.970400,0.000000,0.000000,0.000000,0.003100,0.000000
65,0.208547,1.779195,1.788000,1.697600,1124.000000,644231608.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000700,0.000000,0.000000,0.000000,0.010600,0.000000,0.273800,0.000000,0.000000,0.000000,0.003400,0.000000
66,0.213759,5.164201,5.151900,5.068300,1124.000000,644238196.000000,1143881728.000000,251637760.000000,1273438208.000000,4.731000,0.044100,0.018200,4.620600,0.008800,0.018800,0.009000,0.000500,0.000500,0.014800,0.002700,0.000000
67,0.215727,2.020203,2.030200,1.942100,1124.000000,644235254.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000600,0.000000,0.000000,0.000000,0.011200,0.000000,0.399700,0.000000,0.000000,0.000000,0.002600,0.000000
68,0.218908,3.165398,3.127700,3.046100,1124.000000,644232824.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000500,0.000000,0.000000,0.000000,0.008200,0.000000,1.219800,0.000000,0.000000,0.000000,0.002300,0.000000
69,0.220444,1.541504,1.569600,1.459600,1124.000000,644233304.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000600,0.000000,0.000000,0.000000,0.010200,0.000000,0.307300,0.000000,0.000000,0.000000,0.003100,0.000000
70,0.224352,3.892595,3.879600,3.792900,1124.000000,644235464.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000600,0.000000,0.000000,0.000000,0.008400,0.000000,0.483500,0.000000,0.000000,0.000000,0.002500,0.000000
71,0.229193,4.837705,4.832700,4.738100,1124.000000,644306956.000000,1143881728.000000,251637760.000000,1273438208.000000,4.377600,0.039700,0.015700,4.260400,0.010000,0.018500,0.008500,0.000700,0.000500,0.015300,0.003200,0.000000
72,0.230768,1.590795,1.608400,1.516400,1124.000000,644237544.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000600,0.000000,0.000000,0.000000,0.010800,0.000000,0.316200,0.000000,0.000000,0.000000,0.002600,0.000000
73,0.233740,2.971804,2.959100,2.881800,1124.000000,644236296.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000500,0.000000,0.000000,0.000000,0.008400,0.000000,0.323600,0.000000,0.000000,0.000000,0.002600,0.000000
74,0.235170,1.451297,1.456900,1.373900,1124.000000,644236320.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000600,0.000000,0.000000,0.000000,0.008900,0.000000,0.322800,0.000000,0.000000,0.000000,0.003100,0.000000
75,0.237868,2.672201,2.599100,2.517100,1124.000000,644238070.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000500,0.000000,0.000000,0.000000,0.007400,0.000000,0.712000,0.000000,0.000000,0.000000,0.002100,0.000000
76,0.239413,1.553699,1.619400,1.475500,1124.000000,644243848.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000700,0.000000,0.000000,0.000000,0.009600,0.000000,0.321600,0.000000,0.000000,0.000000,0.003400,0.000000
77,0.241006,1.610700,1.612900,1.534100,1124.000000,644243848.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000600,0.000000,0.000000,0.000000,0.007800,0.000000,0.308300,0.000000,0.000000,0.000000,0.002500,0.000000
78,0.244986,3.887202,3.852600,3.770000,1124.000000,644250044.000000,1143881728.000000,251637760.000000,1273438208.000000,3.384100,0.050100,0.016800,3.257700,0.007800,0.022000,0.010200,0.000800,0.000700,0.019900,0.002200,0.000000
79,0.246823,1.886402,1.895000,1.788900,1124.000000,644244704.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000800,0.000000,0.000000,0.000000,0.012800,0.000000,0.367000,0.000000,0.000000,0.000000,0.004400,0.000000
80,0.248590,1.766794,1.767400,1.670800,1124.000000,644246936.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000600,0.000000,0.000000,0.000000,0.009500,0.000000,0.346900,0.000000,0.000000,0.000000,0.004100,0.000000
81,0.250100,1.536699,1.543100,1.452600,1124.000000,644248848.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000700,0.000000,0.000000,0.000000,0.010200,0.000000,0.296300,0.000000,0.000000,0.000000,0.003500,0.000000
82,0.252057,1.871903,1.842100,1.753800,1124.000000,644248096.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000700,0.000000,0.000000,0.000000,0.008800,0.000000,0.524500,0.000000,0.000000,0.000000,0.002700,0.000000
83,0.253707,1.725602,1.741200,1.634900,1124.000000,644248576.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000800,0.000000,0.000000,0.000000,0.013100,0.000000,0.395200,0.000000,0.000000,0.000000,0.003900,0.000000
84,0.255414,1.710799,1.710800,1.620200,1124.000000,644251848.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000700,0.000000,0.000000,0.000000,0.010000,0.000000,0.390900,0.000000,0.000000,0.000000,0.003100,0.000000
85,0.257420,1.976998,1.951600,1.857100,1124.000000,644251872.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000700,0.000000,0.000000,0.000000,0.008800,0.000000,0.461900,0.000000,0.000000,0.000000,0.002800,0.000000
86,0.261312,3.888003,3.893000,3.779200,1176.000000,644258372.000000,1143881728.000000,251637760.000000,1273438208.000000,3.378500,0.047000,0.015700,3.262400,0.010300,0.020400,0.009600,0.000700,0.000700,0.017100,0.003400,0.000000
87,0.263251,1.905194,1.915400,1.812200,1124.000000,644257296.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000700,0.000000,0.000000,0.000000,0.015300,0.000000,0.353200,0.000000,0.000000,0.000000,0.002600,0.000000
