frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,1.134815,569.922686,569.941500,569.726400,1176.000000,1061335763.000000,1589399552.000000,251482112.000000,1700446208.000000,568.772200,0.885200,0.192000,566.565100,0.018800,0.422700,0.010600,0.011000,0.009700,0.436500,0.004700,0.000000
1,1.711934,577.202380,577.223400,577.034000,1176.000000,1061336715.000000,1589399552.000000,251482112.000000,1700577280.000000,575.874100,1.423900,0.203200,570.678900,0.013800,0.393600,0.011200,0.010000,0.009700,0.427000,0.006700,0.000000
2,2.277491,565.507114,565.480600,565.307700,1176.000000,1061336795.000000,1589399552.000000,251482112.000000,1700708352.000000,564.509900,1.082000,0.396700,558.655000,0.011100,0.407800,0.010600,0.011300,0.009500,0.437300,0.004600,0.000000
3,2.861871,584.348619,584.113700,583.918300,1176.000000,1061337211.000000,1589399552.000000,251482112.000000,1700704256.000000,583.115300,0.858300,0.156300,581.008300,0.013600,0.390500,0.017800,0.010300,0.009500,0.431600,0.004200,0.000000
4,3.438853,577.000201,577.222600,576.800800,1176.000000,1061340715.000000,1589399552.000000,251482112.000000,1700712448.000000,575.728900,0.770500,0.171400,573.131300,0.016600,0.398500,0.009700,0.011000,0.009100,0.583400,0.004400,0.000000
5,4.027234,587.743998,587.736000,587.540500,1176.000000,1061344323.000000,1589399552.000000,251482112.000000,1700630528.000000,585.890000,3.616300,3.506400,574.486100,0.014100,0.387000,0.010300,3.205600,0.009400,0.423200,0.004400,0.000000
6,4.608801,582.211077,582.213400,582.010000,1176.000000,1061344107.000000,1589399552.000000,251482112.000000,1700638720.000000,580.472500,2.896800,0.159400,576.300400,0.014000,0.398100,0.010300,0.011000,0.009000,0.437900,0.006500,0.000000
7,5.188035,579.150915,577.253900,577.060000,1176.000000,1061343659.000000,1589399552.000000,251482112.000000,1700638720.000000,576.188800,1.196300,3.390800,566.123600,0.013600,0.363900,0.009600,0.010800,0.009500,0.424600,0.004300,0.000000
