frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
21,0.062897,1.711898,1.733000,1.602900,1124.000000,643983542.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000600,0.000000,0.000000,0.000000,0.011000,0.000000,0.446900,0.000000,0.000000,0.000000,0.003500,0.000000
22,0.064838,1.954004,1.944100,1.834600,1124.000000,643987406.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000600,0.000000,0.000000,0.000000,0.010300,0.000000,0.371400,0.000000,0.000000,0.000000,0.003300,0.000000
23,0.066566,1.750702,1.760200,1.650000,1124.000000,643987430.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000700,0.000000,0.000000,0.000000,0.010100,0.000000,0.359300,0.000000,0.000000,0.000000,0.003900,0.000000
24,0.068985,2.015200,1.995100,1.889400,1124.000000,643987454.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000700,0.000000,0.000000,0.000000,0.008800,0.000000,0.023700,0.000000,0.000000,0.000000,0.003000,0.000000
25,0.070619,1.987401,1.995900,1.876100,1124.000000,643987478.000000,1140809728.000000,248565760.000000,1275924480.000000,0.001100,0.000000,0.000000,0.000000,0.011600,0.000000,0.244300,0.000000,0.000000,0.000000,0.007900,0.000000
26,0.073797,3.162394,3.139800,3.028100,1124.000000,643993994.000000,1140809728.000000,248565760.000000,1275924480.000000,2.511600,0.041400,0.014600,2.403600,0.010800,0.020500,0.011000,0.000700,0.000600,0.014300,0.003600,0.000000
27,0.075598,1.855903,1.875100,1.752400,1124.000000,643987830.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000600,0.000000,0.000000,0.000000,0.012800,0.000000,0.339200,0.000000,0.000000,0.000000,0.003700,0.000000
28,0.077758,2.082001,2.046200,1.938000,1124.000000,643992398.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000500,0.000000,0.000000,0.000000,0.009200,0.000000,0.555100,0.000000,0.000000,0.000000,0.003000,0.000000
29,0.079729,2.029896,2.042300,1.906700,1124.000000,643996070.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000900,0.000000,0.000000,0.000000,0.013600,0.000000,0.466000,0.000000,0.000000,0.000000,0.005600,0.000000
30,0.081601,1.886104,1.898400,1.779200,1124.000000,643995790.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000600,0.000000,0.000000,0.000000,0.011100,0.000000,0.447000,0.000000,0.000000,0.000000,0.003500,0.000000
31,0.083760,2.113095,2.090000,1.979200,1124.000000,643995814.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000600,0.000000,0.000000,0.000000,0.010400,0.000000,0.407900,0.000000,0.000000,0.000000,0.003500,0.000000
32,0.085647,1.919806,1.929800,1.806400,1124.000000,643995838.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000700,0.000000,0.000000,0.000000,0.011600,0.000000,0.400800,0.000000,0.000000,0.000000,0.003800,0.000000
33,0.087410,1.771195,1.775700,1.666100,1124.000000,643995894.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000800,0.000000,0.000000,0.000000,0.010300,0.000000,0.379300,0.000000,0.000000,0.000000,0.004000,0.000000
34,0.090927,3.358702,3.321600,3.207700,1124.000000,644008522.000000,1140809728.000000,248565760.000000,1275924480.000000,2.722200,0.043300,0.016800,2.600400,0.010200,0.021800,0.014300,0.000700,0.000500,0.020900,0.021400,0.000000
35,0.092883,2.007504,1.995600,1.853800,1124.000000,643999998.000000,1140809728.000000,248565760.000000,1275924480.000000,0.001000,0.000000,0.000000,0.000000,0.013300,0.000000,0.398600,0.000000,0.000000,0.000000,0.009000,0.000000
36,0.094784,1.972399,1.994000,1.847800,1124.000000,644000022.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000800,0.000000,0.000000,0.000000,0.014200,0.000000,0.383800,0.000000,0.000000,0.000000,0.007300,0.000000
37,0.096491,1.747194,1.758400,1.640400,1124.000000,644000046.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000700,0.000000,0.000000,0.000000,0.011400,0.000000,0.360000,0.000000,0.000000,0.000000,0.004200,0.000000
38,0.098811,2.192404,2.138800,2.020400,1124.000000,644002156.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000700,0.000000,0.000000,0.000000,0.009600,0.000000,0.563300,0.000000,0.000000,0.000000,0.003400,0.000000
39,0.100506,1.812698,1.860500,1.706900,1124.000000,644003814.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000900,0.000000,0.000000,0.000000,0.017500,0.000000,0.388600,0.000000,0.000000,0.000000,0.006300,0.000000
40,0.102067,1.597102,1.607500,1.506900,1124.000000,644003838.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000600,0.000000,0.000000,0.000000,0.010600,0.000000,0.322600,0.000000,0.000000,0.000000,0.003400,0.000000
41,0.104670,2.373299,2.203000,2.102400,1124.000000,644007958.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000400,0.000000,0.000000,0.000000,0.008400,0.000000,0.426000,0.000000,0.000000,0.000000,0.002800,0.000000
42,0.108044,3.520401,3.646700,3.515400,1124.000000,644015018.000000,1140809728.000000,248565760.000000,1275924480.000000,2.750600,0.043700,0.017300,2.632000,0.012900,0.021400,0.011100,0.000600,0.000600,0.017100,0.005400,0.000000
43,0.110322,2.265802,2.154300,2.021500,1124.000000,644008854.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000500,0.000000,0.000000,0.000000,0.012600,0.000000,0.359800,0.000000,0.000000,0.000000,0.004100,0.000000
44,0.111759,1.521698,1.642300,1.411000,1124.000000,644008902.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000800,0.000000,0.000000,0.000000,0.012000,0.000000,0.328700,0.000000,0.000000,0.000000,0.004100,0.000000
45,0.113651,1.870302,1.879000,1.762900,1124.000000,644012998.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000500,0.000000,0.000000,0.000000,0.008400,0.000000,0.452900,0.000000,0.000000,0.000000,0.003500,0.000000
46,0.115355,1.736395,1.743000,1.643600,1124.000000,644012174.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000600,0.000000,0.000000,0.000000,0.010300,0.000000,0.360300,0.000000,0.000000,0.000000,0.003900,0.000000
47,0.116994,1.651602,1.651100,1.562900,1124.000000,644012198.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000400,0.000000,0.000000,0.000000,0.008200,0.000000,0.333400,0.000000,0.000000,0.000000,0.002600,0.000000
48,0.119158,2.102898,2.065400,1.966700,1124.000000,644012222.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000500,0.000000,0.000000,0.000000,0.007800,0.000000,0.503900,0.000000,0.000000,0.000000,0.002400,0.000000
49,0.120848,1.700000,1.720700,1.595900,1124.000000,644016374.000000,1140809728.000000,248565760.000000,1275924480.000000,0.000700,0.000000,0.000000,0.000000,0.012300,0.000000,0.346300,0.000000,0.000000,0.000000,0.004200,0.000000
50,0.124333,3.418906,3.374800,3.261100,1124.000000,644027315.000000,1140809728.000000,248565760.000000,1275990016.000000,2.780400,0.044200,0.013900,2.657300,0.009400,0.022800,0.013000,0.000600,0.000600,0.022200,0.003100,0.000000
51,0.126028,1.781094,1.815700,1.677100,1124.000000,644020974.000000,1140809728.000000,248565760.000000,1275990016.000000,0.000700,0.000000,0.000000,0.000000,0.014300,0.000000,0.354600,0.000000,0.000000,0.000000,0.004000,0.000000
52,0.127750,1.736302,1.745100,1.644000,1124.000000,644020998.000000,1140809728.000000,248565760.000000,1275990016.000000,0.000600,0.000000,0.000000,0.000000,0.010000,0.000000,0.450100,0.000000,0.000000,0.000000,0.003300,0.000000
53,0.129869,2.055903,2.030500,1.932500,1124.000000,644021022.000000,1140809728.000000,248565760.000000,1275990016.000000,0.000500,0.000000,0.000000,0.000000,0.008300,0.000000,0.413600,0.000000,0.000000,0.000000,0.003100,0.000000
54,0.131441,1.633999,1.650700,1.538900,1124.000000,644024694.000000,1140809728.000000,248565760.000000,1275990016.000000,0.000700,0.000000,0.000000,0.000000,0.008800,0.000000,0.332500,0.000000,0.000000,0.000000,0.004000,0.000000
55,0.133382,1.891001,1.870900,1.771000,1124.000000,644024294.000000,1140809728.000000,248565760.000000,1275990016.000000,0.000700,0.000000,0.000000,0.000000,0.008600,0.000000,0.417500,0.000000,0.000000,0.000000,0.002900,0.000000
56,0.135345,1.981200,1.980200,1.865600,1124.000000,644028414.000000,1140809728.000000,248565760.000000,1275990016.000000,0.000800,0.000000,0.000000,0.000000,0.010800,0.000000,0.347200,0.000000,0.000000,0.000000,0.004100,0.000000
57,0.136963,1.653897,1.667600,1.559300,1124.000000,644028438.000000,1140809728.000000,248565760.000000,1275990016.000000,0.000800,0.000000,0.000000,0.000000,0.010600,0.000000,0.340400,0.000000,0.000000,0.000000,0.003700,0.000000
58,0.140700,3.650801,3.603100,3.497100,1124.000000,644035146.000000,1140809728.000000,248565760.000000,1275990016.000000,3.075200,0.112700,0.013500,2.888300,0.008500,0.020800,0.010400,0.000700,0.000500,0.022400,0.003300,0.000000
59,0.143659,2.928501,2.157900,2.018900,1124.000000,644028470.000000,1140809728.000000,248565760.000000,1275990016.000000,0.000700,0.000000,0.000000,0.000000,0.013000,0.000000,0.447800,0.000000,0.000000,0.000000,0.004100,0.000000
60,0.144633,1.043800,1.831800,0.933900,1124.000000,644029030.000000,1140809728.000000,248565760.000000,1275990016.000000,0.000700,0.000000,0.000000,0.000000,0.015300,0.000000,0.369800,0.000000,0.000000,0.000000,0.006000,0.000000
61,0.146262,1.665497,1.678200,1.567900,1124.000000,644029030.000000,1140809728.000000,248565760.000000,1275990016.000000,0.000800,0.000000,0.000000,0.000000,0.011200,0.000000,0.347300,0.000000,0.000000,0.000000,0.004100,0.000000
62,0.148178,1.907802,1.906600,1.809300,1124.000000,644032654.000000,1140809728.000000,248565760.000000,1275990016.000000,0.000700,0.000000,0.000000,0.000000,0.008800,0.000000,0.464900,0.000000,0.000000,0.000000,0.003400,0.000000
63,0.150084,1.898200,1.895900,1.799000,1124.000000,644032678.000000,1140809728.000000,248565760.000000,1275990016.000000,0.000600,0.000000,0.000000,0.000000,0.009000,0.000000,0.326700,0.000000,0.000000,0.000000,0.003800,0.000000
64,0.151761,1.705300,1.699700,1.605400,1124.000000,644032702.000000,1140809728.000000,248565760.000000,1275990016.000000,0.000600,0.000000,0.000000,0.000000,0.009200,0.000000,0.363500,0.000000,0.000000,0.000000,0.003300,0.000000
65,0.153808,2.016497,2.009300,1.905900,1124.000000,644032758.000000,1140809728.000000,248565760.000000,1275990016.000000,0.000500,0.000000,0.000000,0.000000,0.008100,0.000000,0.475400,0.000000,0.000000,0.000000,0.002900,0.000000
66,0.156907,3.083503,3.082400,2.974600,1124.000000,644041882.000000,1140809728.000000,248565760.000000,1275990016.000000,2.586600,0.041200,0.014300,2.485100,0.009300,0.018500,0.013000,0.000800,0.000400,0.013300,0.003500,0.000000
67,0.159418,2.477799,2.449100,2.334300,1124.000000,644041126.000000,1140809728.000000,248565760.000000,1275990016.000000,0.000800,0.000000,0.000000,0.000000,0.009700,0.000000,0.527000,0.000000,0.000000,0.000000,0.003300,0.000000
