"scale","scaleUnit","status","fixedTicksPerSecond","framesPerSecond","frameTimeMeanMilliseconds","frameTimeP95Milliseconds","beltEntities","itemEntities","reportPath"
"2","side","passed","61.398348776402","3411.3082575866088","0.2930781086825709","0.4669203422963618","4","4","D:\UnityProject\Factory-with-DOTS\Docs\PerformanceReports\StressTest\Perf_4096_Mk4_FullLoop\stress-20260807-213025\scale-2\report.json"
"4","side","passed","61.39566133641717","3188.1747004076956","0.3135961733948006","0.4290033204597421","16","16","D:\UnityProject\Factory-with-DOTS\Docs\PerformanceReports\StressTest\Perf_4096_Mk4_FullLoop\stress-20260807-213025\scale-4\report.json"
"8","side","passed","61.396252670125115","2759.2315898687825","0.3623434516467847","0.5632766638882448","64","64","D:\UnityProject\Factory-with-DOTS\Docs\PerformanceReports\StressTest\Perf_4096_Mk4_FullLoop\stress-20260807-213025\scale-8\report.json"
"16","side","passed","61.39615313791165","2583.8381059994085","0.38685637739807405","0.5982993170619011","256","256","D:\UnityProject\Factory-with-DOTS\Docs\PerformanceReports\StressTest\Perf_4096_Mk4_FullLoop\stress-20260807-213025\scale-16\report.json"
"32","side","passed","61.59881334683456","1434.7723602278932","0.6963631029579356","1.1109506071079518","1024","1024","D:\UnityProject\Factory-with-DOTS\Docs\PerformanceReports\StressTest\Perf_4096_Mk4_FullLoop\stress-20260807-213025\scale-32\report.json"
"64","side","passed","61.58413082871445","442.28603049713104","2.254083998041113","3.6814713734202087","4096","4096","D:\UnityProject\Factory-with-DOTS\Docs\PerformanceReports\StressTest\Perf_4096_Mk4_FullLoop\stress-20260807-213025\scale-64\report-detailed.json"
"128","side","passed","61.66894314488976","84.02144033656502","11.799313068266011","17.720401287078857","16384","16384","D:\UnityProject\Factory-with-DOTS\Docs\PerformanceReports\StressTest\Perf_4096_Mk4_FullLoop\stress-20260807-213025\scale-128\report.json"
"256","side","failed","31.779834165965546","1.4867758674135927","599.6801778674126","618.3959454298019","65536","65536","D:\UnityProject\Factory-with-DOTS\Docs\PerformanceReports\StressTest\Perf_4096_Mk4_FullLoop\stress-20260807-213025\scale-256\report-detailed.json"
