frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
22,0.073306,1.727601,1.930700,1.647400,1176.000000,642961821.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.537500,0.000000,0.000000,0.000000,0.005200,0.000000
23,0.078187,4.811501,4.766400,4.675900,1124.000000,642972089.000000,1148928000.000000,252489728.000000,1292619776.000000,4.282600,0.036700,0.013000,4.173900,0.021900,0.012000,0.000800,0.000600,0.019400,0.003400,0.000000
24,0.079766,1.653302,1.683000,1.562400,1124.000000,642966253.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.352400,0.000000,0.000000,0.000000,0.003800,0.000000
25,0.081431,1.672796,1.679300,1.590500,1124.000000,642966733.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.401300,0.000000,0.000000,0.000000,0.003100,0.000000
26,0.083264,1.789102,1.781500,1.697700,1124.000000,642965909.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.410200,0.000000,0.000000,0.000000,0.002500,0.000000
27,0.084882,1.646301,1.643700,1.556700,1124.000000,642967869.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.364500,0.000000,0.000000,0.000000,0.003900,0.000000
28,0.086780,1.821499,1.811000,1.722700,1124.000000,642965709.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.423800,0.000000,0.000000,0.000000,0.003300,0.000000
29,0.088524,1.812401,1.813100,1.719000,1124.000000,642969813.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.480800,0.000000,0.000000,0.000000,0.004100,0.000000
30,0.090309,1.792800,1.789600,1.699700,1124.000000,642973941.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.362500,0.000000,0.000000,0.000000,0.003200,0.000000
31,0.094476,4.122903,4.114300,4.020300,1124.000000,642979561.000000,1148928000.000000,252489728.000000,1292619776.000000,3.660400,0.063900,0.039200,3.500300,0.020400,0.009300,0.000900,0.000700,0.017700,0.003000,0.000000
32,0.096417,1.923399,1.904700,1.804900,1124.000000,642974317.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.502000,0.000000,0.000000,0.000000,0.003700,0.000000
33,0.098083,1.720599,1.736300,1.627800,1124.000000,642973829.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.504300,0.000000,0.000000,0.000000,0.004900,0.000000
34,0.099489,1.425496,1.430600,1.339300,1124.000000,642974389.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.421100,0.000000,0.000000,0.000000,0.003300,0.000000
35,0.101230,1.725602,1.719600,1.634300,1124.000000,642979029.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.242800,0.000000,0.000000,0.000000,0.002900,0.000000
36,0.103007,1.736898,1.676500,1.588100,1124.000000,642978205.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.387300,0.000000,0.000000,0.000000,0.003700,0.000000
37,0.104869,1.782603,1.759400,1.668000,1124.000000,642978653.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.439600,0.000000,0.000000,0.000000,0.003700,0.000000
38,0.106414,1.673802,1.751200,1.587100,1124.000000,642978261.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.414700,0.000000,0.000000,0.000000,0.007300,0.000000
39,0.108305,1.875801,1.868700,1.780900,1124.000000,642978285.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.387600,0.000000,0.000000,0.000000,0.002500,0.000000
40,0.112033,3.724596,3.715300,3.623000,1124.000000,642988361.000000,1148928000.000000,252489728.000000,1292619776.000000,3.263400,0.051700,0.013000,3.147200,0.018700,0.008200,0.000700,0.000500,0.017500,0.003400,0.000000
41,0.113690,1.693098,1.708300,1.614700,1124.000000,642982413.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.290500,0.000000,0.000000,0.000000,0.002800,0.000000
42,0.115364,1.656505,1.627100,1.547200,1124.000000,642982437.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.390800,0.000000,0.000000,0.000000,0.002600,0.000000
43,0.117311,1.942297,1.955700,1.849100,1124.000000,642988749.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.608600,0.000000,0.000000,0.000000,0.003400,0.000000
44,0.118850,1.552700,1.556000,1.469900,1124.000000,642986229.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.345600,0.000000,0.000000,0.000000,0.003200,0.000000
45,0.120596,1.741100,1.734000,1.650300,1124.000000,642986253.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.485300,0.000000,0.000000,0.000000,0.002400,0.000000
46,0.122257,1.657703,1.657000,1.572600,1124.000000,642993130.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.338100,0.000000,0.000000,0.000000,0.003300,0.000000
47,0.123974,1.710601,1.717000,1.632400,1124.000000,642990397.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.305900,0.000000,0.000000,0.000000,0.002900,0.000000
48,0.127697,3.707497,3.687000,3.605600,1124.000000,642996241.000000,1148928000.000000,252489728.000000,1292619776.000000,3.259400,0.043900,0.012200,3.150000,0.020800,0.008800,0.000600,0.000500,0.016800,0.002500,0.000000
49,0.129248,1.584602,1.597700,1.505200,1124.000000,642991301.000000,1148928000.000000,252489728.000000,1292619776.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.298000,0.000000,0.000000,0.000000,0.003500,0.000000
50,0.131009,1.679096,1.644500,1.560400,1124.000000,642990901.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.449600,0.000000,0.000000,0.000000,0.003200,0.000000
