frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,1.307172,693.345428,693.354400,693.135400,1176.000000,1054597202.000000,1588314112.000000,254590976.000000,1689239552.000000,692.303900,8.628700,2.407600,0.453900,0.011600,0.013000,0.553200,0.004900,0.000000
1,1.973359,666.268408,666.253900,666.047500,1176.000000,1054600530.000000,1588314112.000000,254590976.000000,1689374720.000000,664.563100,5.109600,3.834100,0.460700,0.013600,0.011600,0.480300,0.006500,0.000000
2,2.638491,665.114224,665.107900,664.893300,1176.000000,1054600842.000000,1588314112.000000,254590976.000000,1689497600.000000,663.888400,6.900500,0.865100,0.461600,0.012400,0.013400,0.523500,0.004400,0.000000
3,3.285842,647.378504,647.357300,647.138500,1176.000000,1054601162.000000,1588314112.000000,254590976.000000,1689620480.000000,646.094500,2.059600,0.188600,0.434900,0.011100,0.011800,0.482600,0.004900,0.000000
4,3.979107,693.258226,693.278800,693.044200,1176.000000,1054601930.000000,1588314112.000000,254590976.000000,1689743360.000000,692.114600,2.860600,0.192400,0.429200,0.011900,0.011600,0.476800,0.004900,0.000000
5,4.648305,668.382287,667.158000,666.944300,1176.000000,1054601650.000000,1588314112.000000,254590976.000000,1689792512.000000,665.762900,5.470800,1.340200,0.427300,0.012100,0.011500,0.480700,0.004400,0.000000
6,5.398026,750.270605,751.255100,749.875700,1176.000000,1054607812.000000,1588314112.000000,254590976.000000,1689829376.000000,744.185200,6.185200,4.412000,0.491100,0.013200,0.011500,0.546600,0.009300,0.000000
