frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.019710,9.646103,9.677100,9.532500,1124.000000,643007293.000000,1136345088.000000,252489728.000000,1267036160.000000,8.600300,0.090000,0.027300,8.371300,0.011300,0.046000,0.008900,0.001000,0.000600,0.036800,0.003100,0.000000
1,0.024277,4.653798,4.643800,3.646900,1124.000000,643004168.000000,1136345088.000000,252489728.000000,1267040256.000000,2.781900,0.022800,0.011700,2.712500,0.011100,0.013800,0.007900,0.000200,0.000100,0.010600,0.004500,0.000000
2,0.027045,2.775602,2.780300,2.664500,1124.000000,642999307.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000500,0.000000,0.000000,0.000000,0.010900,0.000000,0.895000,0.000000,0.000000,0.000000,0.003400,0.000000
3,0.029410,2.402494,2.424700,2.324300,1124.000000,643001642.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000700,0.000000,0.000000,0.000000,0.010000,0.000000,0.018800,0.000000,0.000000,0.000000,0.004300,0.000000
4,0.031711,1.833503,0.722100,0.649300,1124.000000,643008408.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000600,0.000000,0.000000,0.000000,0.007400,0.000000,0.009800,0.000000,0.000000,0.000000,0.002900,0.000000
5,0.034068,2.851098,3.964500,2.781200,1124.000000,643005651.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000600,0.000000,0.000000,0.000000,0.476600,0.000000,0.025700,0.000000,0.000000,0.000000,0.003000,0.000000
6,0.037076,2.989101,2.589300,2.515600,1124.000000,643006283.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000500,0.000000,0.000000,0.000000,0.007000,0.000000,1.252500,0.000000,0.000000,0.000000,0.002900,0.000000
7,0.040173,3.093601,3.475100,3.001700,1124.000000,643021628.000000,1136345088.000000,252489728.000000,1267040256.000000,2.659700,0.094000,0.020300,2.498300,0.008800,0.020100,0.008400,0.000900,0.000500,0.013600,0.003100,0.000000
8,0.042060,1.904195,1.909600,1.826600,1124.000000,643016480.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000500,0.000000,0.000000,0.000000,0.009300,0.000000,0.378600,0.000000,0.000000,0.000000,0.002400,0.000000
9,0.043693,1.618403,1.608400,1.529700,1124.000000,643018982.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000500,0.000000,0.000000,0.000000,0.007300,0.000000,0.308800,0.000000,0.000000,0.000000,0.002900,0.000000
10,0.045661,1.972399,1.960600,1.874700,1124.000000,643020624.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000500,0.000000,0.000000,0.000000,0.008600,0.000000,0.535700,0.000000,0.000000,0.000000,0.002600,0.000000
11,0.047495,1.831101,1.834300,1.738400,1176.000000,643015520.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000500,0.000000,0.000000,0.000000,0.007900,0.000000,0.402800,0.000000,0.000000,0.000000,0.003100,0.000000
12,0.049607,2.006597,2.000900,1.909500,1124.000000,643015544.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000500,0.000000,0.000000,0.000000,0.008600,0.000000,0.575200,0.000000,0.000000,0.000000,0.003100,0.000000
13,0.051075,1.598902,1.611200,1.522800,1124.000000,643016416.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000700,0.000000,0.000000,0.000000,0.007300,0.000000,0.330000,0.000000,0.000000,0.000000,0.003800,0.000000
14,0.056029,4.874001,4.832000,4.726900,1124.000000,643019053.000000,1136345088.000000,252489728.000000,1267040256.000000,4.266900,0.039500,0.015400,4.152000,0.007000,0.023700,0.058900,0.000500,0.000400,0.020600,0.002400,0.000000
15,0.057747,1.757100,1.764700,1.645600,1124.000000,643015896.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000600,0.000000,0.000000,0.000000,0.012300,0.000000,0.439800,0.000000,0.000000,0.000000,0.003500,0.000000
16,0.059591,1.849001,1.859100,1.752500,1124.000000,643020016.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000600,0.000000,0.000000,0.000000,0.010300,0.000000,0.409900,0.000000,0.000000,0.000000,0.003300,0.000000
17,0.061393,1.816901,1.798900,1.706100,1124.000000,643020464.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000600,0.000000,0.000000,0.000000,0.009400,0.000000,0.405500,0.000000,0.000000,0.000000,0.003200,0.000000
18,0.063203,1.791801,1.804800,1.695600,1124.000000,643019816.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000500,0.000000,0.000000,0.000000,0.009200,0.000000,0.415800,0.000000,0.000000,0.000000,0.003100,0.000000
19,0.065120,1.868495,1.848300,1.754700,1124.000000,643024392.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000700,0.000000,0.000000,0.000000,0.009300,0.000000,0.463200,0.000000,0.000000,0.000000,0.003300,0.000000
20,0.066723,1.661203,1.680500,1.585400,1124.000000,643023568.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000700,0.000000,0.000000,0.000000,0.010000,0.000000,0.318500,0.000000,0.000000,0.000000,0.003400,0.000000
21,0.068377,1.632200,1.622100,1.535700,1124.000000,643029880.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000600,0.000000,0.000000,0.000000,0.008800,0.000000,0.322500,0.000000,0.000000,0.000000,0.003100,0.000000
22,0.072878,4.442397,4.390100,4.281300,1124.000000,643033236.000000,1136345088.000000,252489728.000000,1267040256.000000,3.823100,0.050300,0.013700,3.696300,0.008500,0.023100,0.023000,0.000800,0.000600,0.021600,0.003400,0.000000
23,0.074708,1.889605,1.933000,1.787300,1124.000000,643028064.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000700,0.000000,0.000000,0.000000,0.012400,0.000000,0.285100,0.000000,0.000000,0.000000,0.004700,0.000000
24,0.076493,1.803196,1.804900,1.707000,1124.000000,643028088.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000600,0.000000,0.000000,0.000000,0.009300,0.000000,0.355600,0.000000,0.000000,0.000000,0.003500,0.000000
25,0.078268,1.784205,1.787100,1.694900,1124.000000,643028112.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000500,0.000000,0.000000,0.000000,0.008400,0.000000,0.397300,0.000000,0.000000,0.000000,0.002900,0.000000
26,0.080225,1.928501,1.906700,1.816200,1124.000000,643027832.000000,1136345088.000000,252489728.000000,1267040256.000000,0.000500,0.000000,0.000000,0.000000,0.008200,0.000000,0.459500,0.000000,0.000000,0.000000,0.004500,0.000000
