frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,gc_used_memory_bytes,system_used_memory_bytes,render_thread_ms,draw_calls_count,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,grid_build_ms,grid_occupancy_index_ms,belt_topology_visual_ms,wait_for_job_group_ms
0,0.010924,5.475595,5.513000,5.362000,1176.000000,911963602.000000,1395530576.000000,254586880.000000,238682112.000000,1607471104.000000,0.000000,0.000000,3.294600,0.311000,0.203100,2.125200,0.009700,0.073800,0.012400,0.001100,0.000600,0.002100,0.003600,0.002800,0.001900,0.006100,0.000000
1,0.013733,2.824901,2.820000,2.707200,1176.000000,911963202.000000,1395530576.000000,254586880.000000,238682112.000000,1607471104.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.009200,0.000000,0.014300,0.000000,0.000000,0.000000,0.003900,0.003500,0.001700,0.060800,0.000000
2,0.016117,2.427700,2.441200,2.331100,1176.000000,911962802.000000,1395530576.000000,254586880.000000,238682112.000000,1607471104.000000,0.000000,0.000000,0.495800,0.061200,0.013600,0.376000,0.008100,0.018100,0.015800,0.000400,0.000200,0.000300,0.003300,0.001500,0.002300,0.004500,0.000000
3,0.018483,2.340703,2.340200,2.244000,1176.000000,911962826.000000,1395530576.000000,254586880.000000,238682112.000000,1607471104.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.008800,0.000000,0.017100,0.000000,0.000000,0.000000,0.003200,0.003700,0.001900,0.004200,0.000000
4,0.020164,1.717602,1.727400,1.639600,1176.000000,911977346.000000,1395530576.000000,254586880.000000,238682112.000000,1607471104.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.008200,0.000000,0.013700,0.000000,0.000000,0.000000,0.003200,0.001000,0.001600,0.005000,0.000000
5,0.022112,1.817694,1.818500,1.743700,1176.000000,911965250.000000,1395530576.000000,254586880.000000,238682112.000000,1607471104.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.006700,0.000000,0.013300,0.000000,0.000000,0.000000,0.002900,0.002400,0.001300,0.004500,0.000000
6,0.024281,2.284503,2.271800,2.194900,1176.000000,911962634.000000,1395530576.000000,254586880.000000,238682112.000000,1607471104.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.006700,0.000000,0.016800,0.000000,0.000000,0.000000,0.004900,0.001300,0.001900,0.004600,0.000000
7,0.025931,1.659701,1.669600,1.587900,1176.000000,911963098.000000,1395530576.000000,254586880.000000,238682112.000000,1607471104.000000,0.000000,0.000000,0.000500,0.000000,0.000000,0.000000,0.007200,0.000000,0.014100,0.000000,0.000000,0.000000,0.003000,0.001200,0.001500,0.004600,0.000000
8,0.028170,2.207001,2.183100,2.106300,1176.000000,911963122.000000,1395530576.000000,254586880.000000,238682112.000000,1607471104.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.006100,0.000000,0.016600,0.000000,0.000000,0.000000,0.002600,0.001000,0.001200,0.004300,0.000000
9,0.029906,1.766801,1.780200,1.686900,1176.000000,911962730.000000,1395530576.000000,254586880.000000,238682112.000000,1607471104.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.008100,0.000000,0.015900,0.000000,0.000000,0.000000,0.003400,0.002400,0.002000,0.005400,0.000000
10,0.032439,2.512897,2.503800,2.426000,1176.000000,911962746.000000,1395530576.000000,254586880.000000,238682112.000000,1607471104.000000,0.000000,0.000000,0.562400,0.061100,0.016200,0.439100,0.007000,0.016500,0.011700,0.000500,0.000200,0.000600,0.002800,0.112400,0.001600,0.003600,0.000000
11,0.034290,1.864498,1.866200,1.782400,1176.000000,911966866.000000,1395530576.000000,254586880.000000,238686208.000000,1607471104.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.008700,0.000000,0.015500,0.000000,0.000000,0.000000,0.003500,0.001100,0.002500,0.005000,0.000000
12,0.035789,1.511501,1.515600,1.439300,1176.000000,911967314.000000,1395530576.000000,254586880.000000,238686208.000000,1607471104.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.007400,0.000000,0.015700,0.000000,0.000000,0.000000,0.003300,0.001100,0.001700,0.004700,0.000000
13,0.037977,2.093204,2.070300,1.990800,1176.000000,911967762.000000,1395530576.000000,254586880.000000,238686208.000000,1607471104.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.006600,0.000000,0.011900,0.000000,0.000000,0.000000,0.003000,0.002900,0.001600,0.004500,0.000000
14,0.039605,1.712897,1.721700,1.629200,1176.000000,911966938.000000,1395530576.000000,254586880.000000,238686208.000000,1607471104.000000,0.000000,0.000000,0.000500,0.000000,0.000000,0.000000,0.008200,0.000000,0.012100,0.000000,0.000000,0.000000,0.004900,0.001400,0.002100,0.005900,0.000000
15,0.041136,1.547300,1.557200,1.478400,1176.000000,911966962.000000,1395530576.000000,254586880.000000,238686208.000000,1607471104.000000,0.000000,0.000000,0.000500,0.000000,0.000000,0.000000,0.007000,0.000000,0.013700,0.000000,0.000000,0.000000,0.003300,0.001100,0.002000,0.004800,0.000000
