frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
24,0.028395,0.663698,0.665300,0.592300,1112.000000,843684266.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,0.002800,0.000000
25,0.029253,0.843601,0.833500,0.762200,1112.000000,843683850.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.009200,0.000000,0.000000,0.000000,0.002800,0.000000
26,0.029968,0.723498,0.726100,0.648100,1112.000000,843687970.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010400,0.000000,0.000000,0.000000,0.003400,0.000000
27,0.031122,1.129599,0.690500,0.617400,1112.000000,843687994.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,0.003100,0.000000
28,0.032300,1.170706,1.590300,1.077200,1112.000000,843689290.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.027200,0.000000,0.000000,0.000000,0.003400,0.000000
29,0.033119,0.840299,0.847700,0.758000,1112.000000,843688042.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.011100,0.000000,0.000000,0.000000,0.003600,0.000000
30,0.033810,0.704897,0.710100,0.631700,1112.000000,843688778.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.010700,0.000000,0.000000,0.000000,0.003000,0.000000
31,0.034507,0.691801,0.689000,0.617700,1112.000000,843689634.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,0.003000,0.000000
32,0.035215,0.714498,0.713800,0.641300,1112.000000,843694730.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010100,0.000000,0.000000,0.000000,0.002700,0.000000
33,0.035868,0.657901,0.655900,0.584600,1112.000000,843694346.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.009200,0.000000,0.000000,0.000000,0.002800,0.000000
34,0.037269,1.372102,1.317000,1.241900,1112.000000,843698546.000000,1318204976.000000,234864640.000000,1568686080.000000,0.272000,0.034300,0.008900,0.020200,0.009900,0.022200,0.019200,0.023000,0.003100,0.000000
35,0.038042,0.784999,0.832200,0.707300,1112.000000,843702714.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.011900,0.000000,0.000000,0.000000,0.003300,0.000000
36,0.039077,1.039002,0.779100,0.703700,1112.000000,843722826.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.013200,0.000000,0.000000,0.000000,0.002900,0.000000
37,0.039971,0.875496,1.124400,0.790000,1112.000000,843705914.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.011600,0.000000,0.000000,0.000000,0.002900,0.000000
38,0.040799,0.839300,0.839900,0.756200,1112.000000,843702442.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.010800,0.000000,0.000000,0.000000,0.003500,0.000000
39,0.041686,0.890802,0.893000,0.811300,1112.000000,843706610.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.011000,0.000000,0.000000,0.000000,0.003300,0.000000
40,0.042424,0.747902,0.749600,0.673800,1112.000000,843707114.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.011000,0.000000,0.000000,0.000000,0.003300,0.000000
41,0.043119,0.694898,0.690100,0.618100,1112.000000,843706698.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.009900,0.000000,0.000000,0.000000,0.003100,0.000000
42,0.043794,0.674398,0.677400,0.602000,1112.000000,843706722.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.009800,0.000000,0.000000,0.000000,0.002900,0.000000
43,0.044510,0.721606,0.718000,0.647800,1112.000000,843707298.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.011000,0.000000,0.000000,0.000000,0.002900,0.000000
44,0.045287,0.771195,0.759400,0.686500,1112.000000,843707762.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.009700,0.000000,0.000000,0.000000,0.003000,0.000000
45,0.046060,0.731803,0.740000,0.657300,1164.000000,843711018.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.009100,0.000000,0.000000,0.000000,0.003100,0.000000
46,0.047408,1.190901,0.825000,0.749800,1112.000000,843711042.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.009800,0.000000,0.000000,0.000000,0.005500,0.000000
47,0.048345,1.113598,1.415600,0.981500,1112.000000,843711066.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000700,0.000000,0.000000,0.000000,0.011500,0.000000,0.000000,0.000000,0.004400,0.000000
48,0.049163,0.824199,0.877600,0.746000,1112.000000,843711530.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.010800,0.000000,0.000000,0.000000,0.003200,0.000000
49,0.049952,0.793700,0.792500,0.716000,1112.000000,843711562.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.011400,0.000000,0.000000,0.000000,0.003900,0.000000
50,0.050671,0.718403,0.717200,0.641700,1112.000000,843711154.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.011000,0.000000,0.000000,0.000000,0.003000,0.000000
51,0.051489,0.814796,0.805900,0.717500,1112.000000,843715258.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010200,0.000000,0.000000,0.000000,0.003200,0.000000
52,0.052272,0.791199,0.798100,0.717000,1112.000000,843740482.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010300,0.000000,0.000000,0.000000,0.003300,0.000000
53,0.053010,0.738903,0.735100,0.662000,1112.000000,843723538.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,0.003500,0.000000
54,0.053952,0.944097,0.945400,0.871100,1112.000000,843724610.000000,1318204976.000000,234864640.000000,1568686080.000000,0.246400,0.033900,0.010400,0.016200,0.009700,0.018100,0.015800,0.012600,0.002900,0.000000
