frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,gc_used_memory_bytes,system_used_memory_bytes,render_thread_ms,draw_calls_count,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,grid_build_ms,grid_occupancy_index_ms,belt_topology_visual_ms,wait_for_job_group_ms
16,0.017555,0.597697,0.599700,0.535900,1356.000000,920323934.000000,1396318376.000000,257409024.000000,238157824.000000,1618259968.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007000,0.000000,0.007800,0.000000,0.000000,0.000000,0.000300,0.001000,0.002400,0.004000,0.000000
17,0.018133,0.580201,0.579800,0.520000,1356.000000,920323934.000000,1396318376.000000,257409024.000000,238157824.000000,1618259968.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.006700,0.000000,0.007200,0.000000,0.000000,0.000000,0.000200,0.001000,0.002300,0.003800,0.000000
18,0.018703,0.570699,0.569300,0.511100,1356.000000,920323934.000000,1396318376.000000,257409024.000000,238157824.000000,1618259968.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.006400,0.000000,0.007000,0.000000,0.000000,0.000000,0.000200,0.001000,0.002400,0.003700,0.000000
19,0.019271,0.569898,0.568600,0.510600,1356.000000,920323934.000000,1396318376.000000,257409024.000000,238157824.000000,1618259968.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.006300,0.000000,0.007100,0.000000,0.000000,0.000000,0.000200,0.000900,0.002300,0.003800,0.000000
20,0.020185,0.766702,0.757300,0.697400,1356.000000,920323934.000000,1396318376.000000,257409024.000000,238157824.000000,1618264064.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.006500,0.000000,0.006900,0.000000,0.000000,0.000000,0.000300,0.000900,0.002400,0.003800,0.000000
21,0.021066,1.002402,0.999500,0.931200,1356.000000,920323934.000000,1396318376.000000,257409024.000000,238157824.000000,1618264064.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.009100,0.000000,0.008500,0.000000,0.000000,0.000000,0.000300,0.001300,0.002800,0.004400,0.000000
22,0.021696,0.646896,0.650400,0.583300,1356.000000,920328030.000000,1396318376.000000,257409024.000000,238161920.000000,1618264064.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007800,0.000000,0.007600,0.000000,0.000000,0.000000,0.000300,0.001100,0.002600,0.004100,0.000000
23,0.022296,0.602105,0.601800,0.540800,1356.000000,920328030.000000,1396318376.000000,257409024.000000,238161920.000000,1618264064.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007000,0.000000,0.007200,0.000000,0.000000,0.000000,0.000200,0.001000,0.002400,0.004000,0.000000
24,0.022883,0.592397,0.591700,0.532200,1356.000000,920332126.000000,1396318376.000000,257409024.000000,238166016.000000,1618264064.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.006700,0.000000,0.007100,0.000000,0.000000,0.000000,0.000300,0.000900,0.002400,0.004100,0.000000
25,0.023475,0.591702,0.590200,0.531400,1356.000000,920332126.000000,1396318376.000000,257409024.000000,238166016.000000,1618264064.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.006400,0.000000,0.008400,0.000000,0.000000,0.000000,0.000100,0.000900,0.002400,0.003800,0.000000
26,0.024065,0.578798,0.574700,0.516500,1356.000000,920332126.000000,1396318376.000000,257409024.000000,238166016.000000,1618264064.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.006400,0.000000,0.007200,0.000000,0.000000,0.000000,0.000200,0.000900,0.002300,0.004000,0.000000
