frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,gc_used_memory_bytes,system_used_memory_bytes,render_thread_ms,draw_calls_count,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,grid_build_ms,grid_occupancy_index_ms,belt_topology_visual_ms,wait_for_job_group_ms
16,0.027966,0.295699,0.296900,0.219500,1022.000000,849389798.000000,1346448208.000000,253739008.000000,220012544.000000,1588744192.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.004700,0.000000,0.000100,0.000000,0.000000,0.000000,0.000300,0.000700,0.001600,0.001200,0.000000
17,0.028289,0.411501,0.409300,0.323500,1436.000000,849392994.000000,1346448208.000000,253739008.000000,220012544.000000,1588744192.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.004500,0.000000,0.000100,0.000000,0.000000,0.000000,0.000500,0.000800,0.001800,0.001700,0.000000
18,0.028568,0.285204,0.285500,0.212000,1022.000000,849392994.000000,1346448208.000000,253739008.000000,220012544.000000,1588744192.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.004700,0.000000,0.000100,0.000000,0.000000,0.000000,0.000200,0.000900,0.001500,0.001300,0.000000
19,0.028839,0.271499,0.272500,0.200600,1022.000000,849397090.000000,1346448208.000000,253739008.000000,220016640.000000,1588744192.000000,0.000000,0.000000,0.000200,0.000000,0.000000,0.000000,0.004400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000200,0.000600,0.001500,0.001300,0.000000
20,0.029111,0.273200,0.271100,0.201900,1022.000000,849397090.000000,1346448208.000000,253739008.000000,220016640.000000,1588744192.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.004300,0.000000,0.000100,0.000000,0.000000,0.000000,0.000200,0.000900,0.001400,0.001200,0.000000
21,0.029377,0.268800,0.268200,0.198400,1022.000000,849397090.000000,1346448208.000000,253739008.000000,220016640.000000,1588744192.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.004300,0.000000,0.000100,0.000000,0.000000,0.000000,0.000100,0.000800,0.001400,0.001200,0.000000
22,0.029722,0.265200,0.263700,0.195000,1022.000000,849397090.000000,1346448208.000000,253739008.000000,220016640.000000,1588744192.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.004400,0.000000,0.000100,0.000000,0.000000,0.000000,0.000200,0.000700,0.001200,0.001200,0.000000
23,0.030111,0.454599,0.382000,0.297900,1436.000000,849400334.000000,1346448208.000000,253739008.000000,220016640.000000,1588748288.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.004200,0.000000,0.000100,0.000000,0.000000,0.000000,0.000400,0.000800,0.001700,0.001400,0.000000
24,0.030395,0.292397,0.359700,0.219200,1022.000000,849400334.000000,1346448208.000000,253739008.000000,220016640.000000,1588748288.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.004800,0.000000,0.000100,0.000000,0.000000,0.000000,0.000300,0.000700,0.001400,0.001300,0.000000
25,0.030666,0.274702,0.275600,0.204200,1022.000000,849400334.000000,1346448208.000000,253739008.000000,220016640.000000,1588748288.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.004200,0.000000,0.000100,0.000000,0.000000,0.000000,0.000200,0.000800,0.001300,0.001200,0.000000
