frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,gc_used_memory_bytes,system_used_memory_bytes,render_thread_ms,draw_calls_count,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,grid_build_ms,grid_occupancy_index_ms,belt_topology_visual_ms,wait_for_job_group_ms
0,0.021674,9.923597,9.937200,9.739800,17934.000000,836921848.000000,1315744592.000000,252395520.000000,216289280.000000,1569796096.000000,0.000000,0.000000,0.223000,0.084300,0.022800,0.048000,0.115700,0.000800,0.000300,0.000300,0.000400,0.000900,0.001800,0.001600,0.007300,0.004100,0.000000
1,0.022753,1.643601,1.639900,1.497100,1022.000000,836921980.000000,1315744592.000000,252395520.000000,216289280.000000,1569800192.000000,0.000000,0.000000,0.085600,0.030700,0.008500,0.019600,0.010500,0.000300,0.000100,0.000400,0.000200,0.000600,0.001400,0.001200,0.004200,0.002700,0.000000
2,0.023218,0.767900,0.789600,0.666200,1436.000000,836926156.000000,1315744592.000000,252395520.000000,216289280.000000,1569800192.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.014600,0.000000,0.000100,0.000000,0.000000,0.000000,0.000600,0.000900,0.003500,0.002500,0.000000
3,0.023750,0.400900,0.399100,0.274300,1022.000000,836926156.000000,1315744592.000000,252395520.000000,216289280.000000,1569800192.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.006600,0.000000,0.000200,0.000000,0.000000,0.000000,0.000400,0.001100,0.001800,0.001500,0.000000
4,0.024140,0.520897,0.542400,0.421300,1436.000000,836929492.000000,1315744592.000000,252395520.000000,216289280.000000,1569804288.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.008800,0.000000,0.000200,0.000000,0.000000,0.000000,0.000400,0.001100,0.002800,0.002200,0.000000
5,0.024476,0.357901,0.358400,0.268600,1022.000000,836929492.000000,1315744592.000000,252395520.000000,216289280.000000,1569804288.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.005200,0.000000,0.000200,0.000000,0.000000,0.000000,0.000500,0.001000,0.002300,0.001600,0.000000
6,0.024770,0.302905,0.306400,0.225500,1022.000000,836929476.000000,1315744592.000000,252395520.000000,216289280.000000,1569804288.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.005400,0.000000,0.000200,0.000000,0.000000,0.000000,0.000300,0.000800,0.001800,0.001300,0.000000
7,0.025142,0.282596,0.282900,0.207100,1022.000000,836933572.000000,1315744592.000000,252395520.000000,216293376.000000,1569804288.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.004600,0.000000,0.000200,0.000000,0.000000,0.000000,0.000200,0.000800,0.001600,0.001300,0.000000
8,0.025460,0.407100,0.403300,0.319100,1436.000000,836941704.000000,1315744592.000000,252395520.000000,216293376.000000,1569804288.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.004600,0.000000,0.000200,0.000000,0.000000,0.000000,0.000300,0.000800,0.002000,0.001500,0.000000
9,0.025730,0.277799,0.280000,0.206100,1022.000000,836941704.000000,1315744592.000000,252395520.000000,216293376.000000,1569804288.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.004600,0.000000,0.000200,0.000000,0.000000,0.000000,0.000300,0.000800,0.001500,0.001100,0.000000
