frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,1.161869,578.514814,578.524400,578.311300,1176.000000,1061421089.000000,1585360896.000000,251637760.000000,1700909056.000000,577.410700,0.895900,0.190300,575.163100,0.015400,0.436800,0.012300,0.011800,0.010500,0.433200,0.004400,0.000000
1,1.769953,607.941568,607.786300,605.231800,1176.000000,1061429873.000000,1585360896.000000,251637760.000000,1701040128.000000,603.698700,0.772900,0.259000,600.989600,0.014500,0.427100,0.014400,0.011500,0.010000,0.463000,0.007700,0.000000
2,2.365232,595.470309,595.587600,595.245600,1176.000000,1061429641.000000,1585360896.000000,251637760.000000,1701163008.000000,594.014600,2.123000,3.623100,587.086700,0.026100,0.435900,0.011600,0.011200,0.009600,0.453900,0.008500,0.000000
3,2.959574,594.364822,594.357000,594.129600,1176.000000,1061431105.000000,1585360896.000000,251637760.000000,1701289984.000000,593.196600,1.084200,5.029600,585.879700,0.016100,0.431000,0.009400,0.011400,0.010500,0.466100,0.004200,0.000000
4,3.563632,604.117870,604.163100,603.939800,1176.000000,1061430465.000000,1585360896.000000,251637760.000000,1701412864.000000,603.213400,3.861700,2.635900,595.499400,0.014600,0.438400,0.010300,0.011500,0.010200,0.443000,0.003800,0.000000
5,4.158448,594.751596,594.436000,594.252100,1176.000000,1061434825.000000,1585360896.000000,251637760.000000,1701539840.000000,593.501900,11.023100,0.913800,580.384900,0.011000,0.427900,0.009900,0.010800,0.010300,0.458400,0.003700,0.000000
6,4.756647,598.255217,598.556300,598.074100,1176.000000,1061430337.000000,1585360896.000000,251637760.000000,1701666816.000000,597.334800,6.335800,0.194400,589.638000,0.016000,0.445200,0.011100,0.011800,0.010800,0.445500,0.004600,0.000000
7,5.380755,624.025226,623.995500,623.807200,1176.000000,1061432442.000000,1585360896.000000,251637760.000000,1701793792.000000,620.667400,1.028600,5.007000,613.441600,0.012100,0.437600,0.015100,0.011600,0.011100,0.454000,0.003700,0.000000
