frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,gc_used_memory_bytes,system_used_memory_bytes,render_thread_ms,draw_calls_count,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,grid_build_ms,grid_occupancy_index_ms,belt_topology_visual_ms,wait_for_job_group_ms
16,0.102930,6.793502,6.783800,6.635700,1176.000000,931752572.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,3.672600,0.048500,0.020700,3.523400,0.012100,0.036400,0.012300,0.000500,0.000300,0.000800,0.005600,0.002600,0.003300,0.008300,0.000000
17,0.105953,3.061898,3.083400,2.937300,1176.000000,931752156.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.013000,0.000000,0.011800,0.000000,0.000000,0.000000,0.005100,0.002000,0.003300,0.007300,0.000000
18,0.108858,2.899802,2.895000,2.768000,1176.000000,931752196.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000500,0.000000,0.000000,0.000000,0.009900,0.000000,0.011300,0.000000,0.000000,0.000000,0.003300,0.001800,0.001900,0.006400,0.000000
19,0.111692,2.851899,2.862600,2.741800,1176.000000,931752628.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000700,0.000000,0.000000,0.000000,0.011200,0.000000,0.013600,0.000000,0.000000,0.000000,0.004500,0.001700,0.002400,0.007000,0.000000
20,0.117377,5.644204,5.597900,5.481900,1176.000000,931752652.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,2.591200,0.044100,0.019100,2.455600,0.021400,0.033500,0.013000,0.000500,0.000300,0.000800,0.004300,0.002800,0.002200,0.007200,0.000000
21,0.120718,3.294402,3.315400,3.159900,1176.000000,931753100.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.011600,0.000000,0.011700,0.000000,0.000000,0.000000,0.004300,0.001700,0.002800,0.006300,0.000000
22,0.123711,3.060296,3.057400,2.926800,1176.000000,931752276.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000800,0.000000,0.000000,0.000000,0.012300,0.000000,0.011900,0.000000,0.000000,0.000000,0.005100,0.001900,0.002700,0.008600,0.000000
23,0.126635,2.897803,2.900000,2.774700,1176.000000,931752300.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000700,0.000000,0.000000,0.000000,0.010600,0.000000,0.012100,0.000000,0.000000,0.000000,0.004000,0.002000,0.002700,0.007800,0.000000
24,0.129616,3.008000,2.999400,2.886500,1176.000000,931752748.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.008900,0.000000,0.010900,0.000000,0.000000,0.000000,0.004300,0.001500,0.002600,0.007000,0.000000
25,0.135009,5.354698,5.341400,5.207600,1176.000000,931752372.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,2.091800,0.045200,0.020400,1.958100,0.010800,0.027500,0.024700,0.000500,0.000300,0.000800,0.004600,0.002600,0.002800,0.006800,0.000000
26,0.138007,2.981498,2.998300,2.860600,1176.000000,931752372.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.012400,0.000000,0.012300,0.000000,0.000000,0.000000,0.005000,0.002000,0.002800,0.008100,0.000000
27,0.141157,3.217801,3.155200,3.036200,1176.000000,931752396.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000700,0.000000,0.000000,0.000000,0.011100,0.000000,0.011800,0.000000,0.000000,0.000000,0.004300,0.001900,0.002600,0.007700,0.000000
28,0.144239,3.071003,3.122000,2.993100,1176.000000,931766780.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.010200,0.000000,0.011500,0.000000,0.000000,0.000000,0.003200,0.001300,0.002400,0.006500,0.000000
29,0.150112,5.771400,5.646700,5.275300,1176.000000,931755236.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,2.033200,0.048500,0.020000,1.898400,0.010900,0.027200,0.014200,0.000500,0.000200,0.000600,0.003900,0.002300,0.002600,0.006200,0.000000
30,0.153469,3.335899,3.304900,3.108000,1176.000000,931752196.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000800,0.000000,0.000000,0.000000,0.014700,0.000000,0.013900,0.000000,0.000000,0.000000,0.006800,0.002200,0.003500,0.008900,0.000000
31,0.156635,3.233000,3.335400,3.122000,1176.000000,931752236.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000700,0.000000,0.000000,0.000000,0.013800,0.000000,0.015500,0.000000,0.000000,0.000000,0.006900,0.002800,0.002800,0.009400,0.000000
32,0.159779,3.116901,3.089400,2.963700,1176.000000,931752700.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000700,0.000000,0.000000,0.000000,0.009400,0.000000,0.011600,0.000000,0.000000,0.000000,0.004700,0.001600,0.002800,0.006600,0.000000
33,0.163155,3.343700,3.160200,3.015500,1176.000000,931752284.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.012800,0.000000,0.011800,0.000000,0.000000,0.000000,0.005300,0.002500,0.003200,0.009000,0.000000
34,0.168867,5.774001,5.879400,5.548200,1176.000000,931756796.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,2.110400,0.056900,0.025500,1.957800,0.014100,0.026400,0.011600,0.000600,0.000200,0.000900,0.006400,0.002600,0.004000,0.008000,0.000000
35,0.172071,3.198200,3.281600,3.074600,1176.000000,931756804.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000700,0.000000,0.000000,0.000000,0.015000,0.000000,0.012500,0.000000,0.000000,0.000000,0.004600,0.001900,0.004000,0.007200,0.000000
36,0.175945,3.836295,3.746600,3.611300,1176.000000,931757252.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.068400,0.000000,0.011800,0.000000,0.000000,0.000000,0.004800,0.001700,0.002700,0.007900,0.000000
37,0.179550,3.587698,3.511400,3.340700,1176.000000,931757700.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000800,0.000000,0.000000,0.000000,0.015300,0.000000,0.013900,0.000000,0.000000,0.000000,0.005900,0.002500,0.003500,0.008600,0.000000
38,0.185544,6.068601,6.201000,5.932200,1176.000000,931752356.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,2.376000,0.050900,0.046100,2.206200,0.023800,0.026200,0.011600,0.000600,0.000300,0.000600,0.007400,0.002700,0.004300,0.008500,0.000000
39,0.188556,3.038003,3.049100,2.901800,1176.000000,931752396.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.012900,0.000000,0.012600,0.000000,0.000000,0.000000,0.004900,0.002100,0.003300,0.007300,0.000000
40,0.191598,3.068098,3.069200,2.941800,1176.000000,931752876.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.010600,0.000000,0.012400,0.000000,0.000000,0.000000,0.005100,0.002200,0.003100,0.006300,0.000000
